"","X","Position","GnA","Value","age","age_group"
"234",234,"F",6,27,28,"Pro Player"
"235",235,"M",5,27,27,"Pro Player"
"236",236,"F",2,27,28,"Pro Player"
"237",237,"F",2,27,30,"Peak Player"
"238",238,"F",8,27,29,"Peak Player"
"239",239,"F",18,27,32,"Peak Player"
"240",240,"M",3,27,31,"Peak Player"
"241",241,"M",1,27,31,"Peak Player"
"242",242,"D",0,25.2,20,"Young Player"
"243",243,"D",0,25.2,21,"Young Player"
"244",244,"M",1,25.2,21,"Young Player"
"245",245,"M",8,25.2,21,"Young Player"
"246",246,"D",1,25.2,22,"Young Player"
"247",247,"D",2,25.2,21,"Young Player"
"248",248,"M",1,25.2,22,"Young Player"
"249",249,"D",2,25.2,23,"Pro Player"
"250",250,"F",0,25.2,24,"Pro Player"
"251",251,"M",1,25.2,24,"Pro Player"
"252",252,"M",6,25.2,25,"Pro Player"
"253",253,"D",0,25.2,25,"Pro Player"
"254",254,"F",10,25.2,25,"Pro Player"
"255",255,"D",0,25.2,28,"Pro Player"
"256",256,"F",4,25.2,30,"Peak Player"
"257",257,"D",0,25.2,24,"Pro Player"
"258",258,"D",1,25.2,31,"Peak Player"
"259",259,"F",4,24.3,23,"Pro Player"
"260",260,"M",9,24.3,21,"Young Player"
"261",261,"M",3,24.3,24,"Pro Player"
"262",262,"M",1,24.3,24,"Pro Player"
"263",263,"D",1,24.3,25,"Pro Player"
"264",264,"F",19,24.3,27,"Pro Player"
"265",265,"D",0,24.3,27,"Pro Player"
"266",266,"F",4,24.3,28,"Pro Player"
"267",267,"F",0,23.4,19,"Young Player"
"268",268,"F",0,23.4,25,"Pro Player"
"269",269,"M",1,23.4,24,"Pro Player"
"270",270,"M",1,23.4,27,"Pro Player"
"271",271,"D",0,23.4,28,"Pro Player"
"272",272,"M",1,22.5,17,"Young Player"
"273",273,"M",0,22.5,18,"Young Player"
"274",274,"F",0,22.5,23,"Pro Player"
"275",275,"F",10,22.5,21,"Young Player"
"276",276,"D",3,22.5,22,"Young Player"
"277",277,"F",8,22.5,19,"Young Player"
"278",278,"D",3,22.5,23,"Pro Player"
"279",279,"F",13,22.5,24,"Pro Player"
"280",280,"D",1,22.5,22,"Young Player"
"281",281,"D",1,22.5,23,"Pro Player"
"282",282,"D",0,22.5,22,"Young Player"
"283",283,"F",9,22.5,21,"Young Player"
"284",284,"F",9,22.5,20,"Young Player"
"285",285,"D",1,22.5,23,"Pro Player"
"286",286,"F",10,22.5,23,"Pro Player"
"287",287,"D",2,22.5,24,"Pro Player"
"288",288,"D",0,22.5,24,"Pro Player"
"289",289,"M",1,22.5,25,"Pro Player"
"290",290,"F",2,22.5,25,"Pro Player"
"291",291,"F",8,22.5,22,"Young Player"
"292",292,"M",3,22.5,25,"Pro Player"
"293",293,"F",9,22.5,24,"Pro Player"
"294",294,"M",0,22.5,26,"Pro Player"
"295",295,"D",0,22.5,25,"Pro Player"
"296",296,"D",3,22.5,24,"Pro Player"
"297",297,"D",0,22.5,23,"Pro Player"
"298",298,"F",10,22.5,22,"Young Player"
"299",299,"M",2,22.5,23,"Pro Player"
"300",300,"F",4,22.5,23,"Pro Player"
"301",301,"F",2,22.5,23,"Pro Player"
"302",302,"F",0,22.5,25,"Pro Player"
"303",303,"F",9,22.5,26,"Pro Player"
"304",304,"M",0,22.5,24,"Pro Player"
"305",305,"D",2,22.5,24,"Pro Player"
"306",306,"D",2,22.5,26,"Pro Player"
"307",307,"F",11,22.5,24,"Pro Player"
"308",308,"D",3,22.5,24,"Pro Player"
"309",309,"F",3,22.5,26,"Pro Player"
"310",310,"F",4,22.5,27,"Pro Player"
"311",311,"D",0,22.5,25,"Pro Player"
"312",312,"D",1,22.5,25,"Pro Player"
"313",313,"D",0,22.5,25,"Pro Player"
"314",314,"F",7,22.5,24,"Pro Player"
"315",315,"M",5,22.5,28,"Pro Player"
"316",316,"D",1,22.5,25,"Pro Player"
"317",317,"G",0,22.5,26,"Pro Player"
"318",318,"F",13,22.5,26,"Pro Player"
"319",319,"D",1,22.5,29,"Peak Player"
"320",320,"D",2,22.5,30,"Peak Player"
"321",321,"M",1,22.5,29,"Peak Player"
"322",322,"D",0,22.5,29,"Peak Player"
"323",323,"D",1,22.5,29,"Peak Player"
"324",324,"G",0,22.5,27,"Pro Player"
"325",325,"D",1,22.5,28,"Pro Player"
"326",326,"M",6,22.5,28,"Pro Player"
"327",327,"D",3,22.5,28,"Pro Player"
"328",328,"D",0,22.5,30,"Peak Player"
"329",329,"F",3,22.5,29,"Peak Player"
"330",330,"F",6,22.5,29,"Peak Player"
"331",331,"M",1,22.5,30,"Peak Player"
"332",332,"F",9,22.5,32,"Peak Player"
"333",333,"F",1,22.5,30,"Peak Player"
"334",334,"F",22,22.5,33,"Veteran Player"
"335",335,"F",5,21.6,23,"Pro Player"
"336",336,"M",3,21.6,23,"Pro Player"
"337",337,"F",11,21.6,28,"Pro Player"
"338",338,"M",6,21.6,26,"Pro Player"
"339",339,"D",2,21.6,27,"Pro Player"
"340",340,"D",2,21.6,28,"Pro Player"
"341",341,"D",2,20.7,20,"Young Player"
"342",342,"M",9,20.7,18,"Young Player"
"343",343,"M",6,20.7,22,"Young Player"
"344",344,"M",8,20.7,26,"Pro Player"
"345",345,"M",1,20.7,30,"Peak Player"
"346",346,"F",10,20.7,30,"Peak Player"
"347",347,"F",2,19.8,20,"Young Player"
"348",348,"F",1,19.8,21,"Young Player"
"349",349,"D",0,19.8,21,"Young Player"
"350",350,"F",4,19.8,24,"Pro Player"
"351",351,"M",6,19.8,22,"Young Player"
"352",352,"F",15,19.8,22,"Young Player"
"353",353,"D",2,19.8,24,"Pro Player"
"354",354,"F",1,19.8,21,"Young Player"
"355",355,"D",0,19.8,21,"Young Player"
"356",356,"F",0,19.8,24,"Pro Player"
"357",357,"F",6,19.8,23,"Pro Player"
"358",358,"M",2,19.8,25,"Pro Player"
"359",359,"M",2,19.8,27,"Pro Player"
"360",360,"M",0,19.8,22,"Young Player"
"361",361,"F",1,19.8,23,"Pro Player"
"362",362,"M",4,19.8,22,"Young Player"
"363",363,"F",8,19.8,24,"Pro Player"
"364",364,"M",1,19.8,23,"Pro Player"
"365",365,"D",3,19.8,26,"Pro Player"
"366",366,"F",1,19.8,24,"Pro Player"
"367",367,"F",3,19.8,24,"Pro Player"
"368",368,"F",12,19.8,27,"Pro Player"
"369",369,"D",0,19.8,25,"Pro Player"
"370",370,"G",0,19.8,24,"Pro Player"
"371",371,"F",3,19.8,25,"Pro Player"
"372",372,"D",1,19.8,25,"Pro Player"
"373",373,"D",5,19.8,26,"Pro Player"
"374",374,"M",1,19.8,28,"Pro Player"
"375",375,"F",4,19.8,28,"Pro Player"
"376",376,"D",0,19.8,27,"Pro Player"
"377",377,"M",0,19.8,27,"Pro Player"
"378",378,"D",0,19.8,28,"Pro Player"
"379",379,"M",3,19.8,28,"Pro Player"
"380",380,"F",5,19.8,29,"Peak Player"
"381",381,"M",1,19.8,30,"Peak Player"
"382",382,"F",4,19.8,29,"Peak Player"
"383",383,"M",0,19.8,29,"Peak Player"
"384",384,"F",4,19.8,30,"Peak Player"
"385",385,"M",2,18.9,26,"Pro Player"
"386",386,"F",7,18.9,27,"Pro Player"
"387",387,"M",8,18,20,"Young Player"
"388",388,"F",21,18,21,"Young Player"
"389",389,"M",14,18,21,"Young Player"
"390",390,"M",1,18,19,"Young Player"
"391",391,"D",4,18,22,"Young Player"
"392",392,"F",10,18,22,"Young Player"
"393",393,"G",0,18,21,"Young Player"
"394",394,"F",0,18,21,"Young Player"
"395",395,"F",17,18,19,"Young Player"
"396",396,"M",4,18,23,"Pro Player"
"397",397,"F",8,18,23,"Pro Player"
"398",398,"M",0,18,23,"Pro Player"
"399",399,"D",0,18,20,"Young Player"
"400",400,"G",0,18,23,"Pro Player"
"401",401,"M",1,18,22,"Young Player"
"402",402,"F",1,18,22,"Young Player"
"403",403,"D",3,18,23,"Pro Player"
"404",404,"F",5,18,22,"Young Player"
"405",405,"D",1,18,21,"Young Player"
"406",406,"M",3,18,21,"Young Player"
"407",407,"M",2,18,24,"Pro Player"
"408",408,"F",9,18,21,"Young Player"
"409",409,"M",6,18,25,"Pro Player"
"410",410,"D",2,18,25,"Pro Player"
"411",411,"D",2,18,24,"Pro Player"
"412",412,"D",0,18,25,"Pro Player"
"413",413,"F",3,18,25,"Pro Player"
"414",414,"M",3,18,24,"Pro Player"
"415",415,"M",0,18,22,"Young Player"
"416",416,"M",1,18,24,"Pro Player"
"417",417,"D",0,18,23,"Pro Player"
"418",418,"M",0,18,23,"Pro Player"
"419",419,"M",0,18,25,"Pro Player"
"420",420,"F",1,18,25,"Pro Player"
"421",421,"M",1,18,24,"Pro Player"
"422",422,"F",8,18,25,"Pro Player"
"423",423,"M",0,18,26,"Pro Player"
"424",424,"D",0,18,27,"Pro Player"
"425",425,"F",1,18,23,"Pro Player"
"426",426,"G",0,18,24,"Pro Player"
"427",427,"F",3,18,23,"Pro Player"
"428",428,"D",1,18,28,"Pro Player"
"429",429,"D",0,18,26,"Pro Player"
"430",430,"D",0,18,24,"Pro Player"
"431",431,"M",1,18,25,"Pro Player"
"432",432,"D",1,18,28,"Pro Player"
"433",433,"G",0,18,27,"Pro Player"
"434",434,"F",5,18,25,"Pro Player"
"435",435,"M",1,18,28,"Pro Player"
"436",436,"F",4,18,25,"Pro Player"
"437",437,"F",3,18,24,"Pro Player"
"438",438,"G",0,18,26,"Pro Player"
"439",439,"M",3,18,26,"Pro Player"
"440",440,"D",0,18,26,"Pro Player"
"441",441,"M",6,18,26,"Pro Player"
"442",442,"F",2,18,27,"Pro Player"
"443",443,"D",1,18,26,"Pro Player"
"444",444,"M",5,18,25,"Pro Player"
"445",445,"M",0,18,27,"Pro Player"
"446",446,"F",7,18,29,"Peak Player"
"447",447,"D",1,18,30,"Peak Player"
"448",448,"F",0,18,26,"Pro Player"
"449",449,"F",6,18,29,"Peak Player"
"450",450,"F",5,18,30,"Peak Player"
"451",451,"F",1,18,29,"Peak Player"
"452",452,"D",0,18,31,"Peak Player"
"453",453,"M",2,18,30,"Peak Player"
"454",454,"F",4,18,28,"Pro Player"
"455",455,"M",1,18,29,"Peak Player"
"456",456,"D",2,18,30,"Peak Player"
"457",457,"M",4,18,30,"Peak Player"
"458",458,"M",4,18,31,"Peak Player"
"459",459,"F",5,18,33,"Veteran Player"
"460",460,"D",2,17.1,19,"Young Player"
"461",461,"D",0,17.1,24,"Pro Player"
"462",462,"M",3,17.1,27,"Pro Player"
"463",463,"D",0,16.2,21,"Young Player"
"464",464,"D",2,16.2,20,"Young Player"
"465",465,"F",3,16.2,19,"Young Player"
"466",466,"D",0,16.2,21,"Young Player"
"467",467,"F",7,16.2,19,"Young Player"
"468",468,"F",3,16.2,20,"Young Player"
"469",469,"M",6,16.2,24,"Pro Player"
"470",470,"D",0,16.2,20,"Young Player"
"471",471,"D",3,16.2,24,"Pro Player"
"472",472,"F",4,16.2,16,"Young Player"
"473",473,"D",0,16.2,24,"Pro Player"
"474",474,"M",5,16.2,24,"Pro Player"
"475",475,"F",0,16.2,21,"Young Player"
"476",476,"D",1,16.2,23,"Pro Player"
"477",477,"F",2,16.2,22,"Young Player"
"478",478,"M",0,16.2,23,"Pro Player"
"479",479,"F",5,16.2,24,"Pro Player"
"480",480,"D",2,16.2,24,"Pro Player"
"481",481,"D",7,16.2,24,"Pro Player"
"482",482,"F",13,16.2,24,"Pro Player"
"483",483,"M",1,16.2,23,"Pro Player"
"484",484,"F",1,16.2,27,"Pro Player"
"485",485,"F",7,16.2,25,"Pro Player"
"486",486,"F",1,16.2,24,"Pro Player"
"487",487,"M",0,16.2,25,"Pro Player"
"488",488,"M",2,16.2,23,"Pro Player"
"489",489,"M",0,16.2,26,"Pro Player"
"490",490,"G",0,16.2,26,"Pro Player"
"491",491,"G",0,16.2,23,"Pro Player"
"492",492,"M",1,16.2,28,"Pro Player"
"493",493,"F",4,16.2,26,"Pro Player"
"494",494,"D",0,16.2,26,"Pro Player"
"495",495,"F",4,16.2,24,"Pro Player"
"496",496,"M",0,16.2,27,"Pro Player"
"497",497,"F",4,16.2,28,"Pro Player"
"498",498,"G",0,16.2,24,"Pro Player"
"499",499,"D",0,16.2,25,"Pro Player"
"500",500,"D",4,16.2,27,"Pro Player"
